word	prob
about	0.0013953281665232307
after	0.0018107074855822274
agency	0.0013477813297977836
agreed	0.001214919983317568
al	0.0019466959424571473
alliance	0.0014774607577436342
also	0.001307243042607419
arab	0.0023052528010462665
arabia	0.0030259271480599097
bahrain	0.0012200053349039968
barrel	0.0035295211290813635
barrels	0.003473979944041752
been	0.0015030536388099059
bpd	0.004970071524476492
capacity	0.0017353440633064818
ceiling	0.0020070131191975405
conference	0.0015111483625314054
conservatives	0.0012180863119394321
countries	0.0012130317470827679
crude	0.007118397506578661
cut	0.0012285304372571845
day	0.0028604611982122326
december	0.0014088015465553846
demand	0.0015663813430130719
dlrs	0.0018191863049575726
earthquake	0.002021579126636668
east	0.0018074420955737015
ecuador	0.0029350229545707907
energy	0.0025747058147259903
estimated	0.001348407645588694
expected	0.0015404366057433553
exports	0.001541002390780245
five	0.0014324054016713978
from	0.002298998742217372
gasoline	0.0019101773307854863
government	0.0023918369432292547
gulf	0.0021483563586067226
had	0.0018098441482024654
has	0.0016302236222416576
have	0.0017777096542766185
he	0.002417162469559416
hogs	0.0012520456737020885
industry	0.00221165633994949
its	0.002324240253939932
kuwait	0.0017495993389904116
labour	0.0014977148184819387
last	0.002483711259728167
malaysia	0.0019714002075879775
malaysian	0.001755417157852204
mar	0.0014523254802078854
market	0.0013611149351066528
minister	0.002887311188774389
mln	0.0021130467694712675
months	0.0013650842805393677
news	0.0012152132904057894
next	0.0012278950211723576
15.8	0.0013285732829023662
official	0.00215594571812514
officials	0.0015342137228531963
oil	0.01255940122639303
one	0.001845332471641295
opec	0.005634062900797803
output	0.0025581693340831655
pact	0.001240671906324884
pct	0.0016795197597224527
per	0.002217308379860505
petroleum	0.0028548759131760766
pipeline	0.002008746737588063
price	0.002642661389567195
prices	0.00494343238571569
private	0.0013628162023084304
production	0.0024210030717546046
quota	0.0020988852044115623
refinery	0.0025418132674064615
ringgit	0.0012853285986920578
rubber	0.002562430856177778
said	0.0036698199608104164
18	0.001918292708527033
saudi	0.00462395941530242
since	0.0012421905350645007
singapore	0.0022858781747613927
six	0.0012176513531964223
some	0.0013049241051815688
sources	0.0021222691908586036
south	0.0013778658978317517
spanish	0.0018305352326133373
spot	0.0012495739361720758
state	0.002297131663538237
thailand	0.0012643842248462529
tin	0.0013087785416662405
today	0.0012172501614223165
told	0.0016450072690403369
two	0.0017003993911374933
under	0.0012733920752562634
up	0.0021200112659821428
venezuela	0.002175346738905563
venezuelan	0.0012928402432385677
were	0.0019215785411153146
which	0.0021994130096917243
would	0.002250341870534433
